Date,Temperature
2024-01-01,5.993428306022466
2024-01-02,4.72347139765763
2024-01-03,6.295377076201385
2024-01-04,8.046059712816051
2024-01-05,4.531693250553328
2024-01-06,4.531726086101639
2024-01-07,8.158425631014783
2024-01-08,6.534869458305818
2024-01-09,4.061051228130096
2024-01-10,6.085120087171929
2024-01-11,4.0731646143750755
2024-01-12,4.068540492859486
2024-01-13,5.483924543132068
2024-01-14,1.1734395106844042
2024-01-15,1.5501643349739345
2024-01-16,3.8754249415180544
2024-01-17,2.9743377593311524
2024-01-18,5.628494665190548
2024-01-19,3.1839518489575784
2024-01-20,2.175392597329417
2024-01-21,7.931297537843108
2024-01-22,4.548447399026928
2024-01-23,5.1350564093758475
2024-01-24,2.1505036275730864
2024-01-25,3.9112345509496347
2024-01-26,5.2218451794197325
2024-01-27,2.6980128451553944
2024-01-28,5.751396036691344
2024-01-29,3.79872262016239
2024-01-30,4.416612500413446
2024-01-31,3.796586775541206
2024-02-01,10.704556369017876
2024-02-02,6.973005550524132
2024-02-03,4.884578142088199
2024-02-04,8.645089824206378
2024-02-05,4.5583127000579555
2024-02-06,7.4177271900095105
2024-02-07,3.080659752240449
2024-02-08,4.3436279022031385
2024-02-09,7.393722471738247
2024-02-10,8.476933159990821
2024-02-11,7.342736562379941
2024-02-12,6.768703435223519
2024-02-13,6.3977926088214225
2024-02-14,4.042956019265145
2024-02-15,5.5603115832105825
2024-02-16,6.078722458080425
2024-02-17,9.11424445243783
2024-02-18,7.687236579136923
2024-02-19,3.473919689274532
2024-02-20,7.64816793878959
2024-02-21,6.229835439167367
2024-02-22,5.646155999388083
2024-02-23,8.223352577681736
2024-02-24,9.061999044991902
2024-02-25,8.862560238232398
2024-02-26,5.321564953554723
2024-02-27,6.381575248297571
2024-02-28,7.662526862807128
2024-02-29,8.951090254244718
2024-03-01,9.04165152430942
2024-03-02,9.628682046672365
2024-03-03,7.787330051987944
2024-03-04,7.607586751838658
2024-03-05,11.625051644788396
2024-03-06,12.712480057141645
2024-03-07,9.855979756839332
2024-03-08,12.007065795784047
2024-03-09,10.723272050095268
2024-03-10,8.709760490789751
2024-03-11,10.722791211016828
2024-03-12,13.076073132931938
2024-03-13,9.928347921780096
2024-03-14,13.129287311628012
2024-03-15,4.760509791820511
2024-03-16,11.643805008750448
2024-03-17,10.174094136476343
2024-03-18,9.401985299068265
2024-03-19,10.183521553071005
2024-03-20,6.024862170798214
2024-03-21,9.560656224324976
2024-03-22,10.714225143023492
2024-03-23,12.955788089483033
2024-03-24,8.963459563452705
2024-03-25,8.383012794213625
2024-03-26,8.996485912830927
2024-03-27,11.830804235404148
2024-03-28,10.657502219319369
2024-03-29,8.940479592465923
2024-03-30,11.026534866226712
2024-03-31,10.194155098696081
2024-04-01,14.937289981065778
2024-04-02,11.595893812245295
2024-04-03,12.344675706804464
2024-04-04,12.215783693735684
2024-04-05,10.072970103735763
2024-04-06,13.592240554129152
2024-04-07,13.522110544359778
2024-04-08,13.010226913284923
2024-04-09,12.530825733249706
2024-04-10,10.169258515899172
2024-04-11,12.158709354469282
2024-04-12,12.31457096694646
2024-04-13,11.395445461556761
2024-04-14,12.677428576667982
2024-04-15,13.808101713629076
2024-04-16,16.77237180242106
2024-04-17,13.349155625663679
2024-04-18,13.515100781445529
2024-04-19,12.851108168467665
2024-04-20,9.162457569401917
2024-04-21,12.946972249101567
2024-04-22,13.120460419882052
2024-04-23,17.926484224970572
2024-04-24,12.615278070437755
2024-04-25,13.603094684667225
2024-04-26,12.930576460589513
2024-04-27,10.662643924760935
2024-04-28,15.285645629030041
2024-04-29,14.503866065373549
2024-04-30,14.582063894086094
2024-05-01,15.181225090410521
2024-05-02,19.805588621872197
2024-05-03,14.196297874415439
